縣市及鄉鎮市區,Capacity_High Risk,Capacity_Low Risk,Capacity_Medium Risk,Capacity_Safe,Count_High Risk,Count_Low Risk,Count_Medium Risk,Count_Safe,Total_Shelters,Total_Capacity,High_Risk_Percentage
高雄市桃源區,0.0,3281.0,1711.0,588.0,0.0,4.0,9.0,4.0,17.0,5580.0,0.0
高雄市梓官區,0.0,60.0,650.0,1340.0,0.0,1.0,3.0,5.0,9.0,2050.0,0.0
嘉義縣六腳鄉,0.0,730.0,140.0,6870.0,0.0,2.0,2.0,12.0,16.0,7740.0,0.0
高雄市橋頭區,0.0,1105.0,0.0,5536.0,0.0,1.0,0.0,6.0,7.0,6641.0,0.0
高雄市永安區,0.0,0.0,50.0,330.0,0.0,0.0,1.0,4.0,5.0,380.0,0.0
嘉義市西區,0.0,0.0,957.0,10825.0,0.0,0.0,3.0,21.0,24.0,11782.0,0.0
雲林縣北港鎮,0.0,3700.0,1300.0,1500.0,0.0,6.0,2.0,9.0,17.0,6500.0,0.0
高雄市田寮區,0.0,70.0,200.0,0.0,0.0,1.0,3.0,0.0,4.0,270.0,0.0
南投縣鹿谷鄉,0.0,360.0,2350.0,650.0,0.0,3.0,10.0,3.0,16.0,3360.0,0.0
高雄市苓雅區,0.0,2193.0,0.0,14006.0,0.0,2.0,0.0,11.0,13.0,16199.0,0.0
高雄市茂林區,0.0,520.0,50.0,350.0,0.0,3.0,1.0,2.0,6.0,920.0,0.0
高雄市茄萣區,0.0,0.0,589.0,3206.0,0.0,0.0,1.0,6.0,7.0,3795.0,0.0
