district,shelter_count,capacity,high_risk_count,geometry,safe_capacity,capacity_loss_ratio
南港區,6,998,1,POINT (121.6172 25.0424),968.0,3.006012024048096
永寧路,2,1414,1,POINT (121.42864 24.961098),1384.0,2.1216407355021216
臺北市松山區,7,4576,2,POINT (121.5509 25.0449),4486.0,1.9667832167832169
文化路,7,5111,1,POINT (121.4582 25.0108),5061.0,0.9782821365681862
臺北市南港區,5,8010,1,POINT (121.587751 25.045069),7960.0,0.6242197253433208
臺北市萬華區,4,34275,1,POINT (121.507 25.0221),34225.0,0.14587892049598833
阿柔里,1,57,0,POINT (121.6072 24.9983),57.0,0.0
田心子,1,408,0,POINT (121.501531 25.203711),408.0,0.0
長坑里,1,224,0,POINT (121.3905 25.1257),224.0,0.0
中平街,1,70,0,POINT (121.7225 25.1418),70.0,0.0
中山北,4,1839,0,POINT (121 25),1839.0,0.0
環港街,1,60,0,POINT (121.7926 25.141),60.0,0.0
碇內街,1,85,0,POINT (121.7538 25.0955),85.0,0.0
三多路,1,847,0,POINT (121.414672 25.006414),847.0,0.0
石門街,1,52,0,POINT (121.565885 25.291194),52.0,0.0
白雞路,1,975,0,POINT (121.3755 24.912),975.0,0.0
白雞1,1,339,0,POINT (121.3937 24.9102),339.0,0.0
石牌路,1,384,0,POINT (121.5065 25.1389),384.0,0.0
百一街,1,60,0,POINT (121.7004 25.081),60.0,0.0
長泰路,1,176,0,POINT (121.9075 25.0206),176.0,0.0
雙鳳路,1,300,0,POINT (121.4431 25.0294),300.0,0.0
青雲路,2,60,0,POINT (121.458661 24.973802),60.0,0.0
石碇西,1,109,0,POINT (121.659 24.9903),109.0,0.0
9鄰柑,1,133,0,POINT (121.804558 25.01513),133.0,0.0
9鄰靜,1,49,0,POINT (121.7247 25.0221),49.0,0.0
瑪鋉路,1,125,0,POINT (121.685353 25.177827),125.0,0.0
華梵路,1,100,0,POINT (121.6921 24.98),100.0,0.0
瑞濱路,1,877,0,POINT (121.820317 25.120495),877.0,0.0
溪尾寮,1,100,0,POINT (121.827 24.9727),100.0,0.0
龍門街,1,50,0,POINT (121.9316 25.0273),50.0,0.0
深坑里,4,1072,0,POINT (121.6183 25.0017),1072.0,0.0
深澳坑,2,95,0,POINT (121.7913 25.1236),95.0,0.0
龍米路,2,1590,0,POINT (121.4496 25.1348),1590.0,0.0
2鄰李,1,50,0,POINT (121.548453 24.883684),50.0,0.0
清水路,1,50,0,POINT (121.458501 24.98237),50.0,0.0
龍洞街,1,117,0,POINT (121.9193 25.1123),117.0,0.0
中正北,1,2200,0,POINT (121.489253 25.063033),2200.0,0.0
港東路,1,658,0,POINT (121.689442 25.205606),658.0,0.0
龍安路,2,2300,0,POINT (121.4438 25.0378),2300.0,0.0
溪山里,1,0,0,POINT (121.5773 25.1214),0.0,0.0
玉田路,2,375,0,POINT (121.680262 25.183902),375.0,0.0
溪東路,1,261,0,POINT (121.4057 24.9332),261.0,0.0
黎明路,1,21,0,POINT (121.421 25.0627),21.0,0.0
中正三,1,1513,0,POINT (121.335 24.9393),1513.0,0.0
漢生東,1,2122,0,POINT (121.4709 25.0102),2122.0,0.0
黎專路,1,1081,0,POINT (121.4199 25.0658),1081.0,0.0
麗園一,1,247,0,POINT (121.377252 25.068777),247.0,0.0
獅球路,2,91,0,POINT (121.7367 25.1241),91.0,0.0
香蘭街,1,100,0,POINT (121.9729 25.0177),100.0,0.0
三民路,4,5321,0,POINT (121.419474 24.963872),5321.0,0.0
中平路,2,2317,0,POINT (121.4278 25.0216),2317.0,0.0
金門街,1,1021,0,POINT (121.4309 24.9873),1021.0,0.0
竹崙里,1,113,0,POINT (121.4349 24.9088),113.0,0.0
中山三,1,20,0,POINT (121.7444 25.1427),20.0,0.0
茂林社區,1,110,0,POINT (121.591831 25.27188),110.0,0.0
西定路,3,170,0,POINT (121.7354 25.1317),170.0,0.0
裕生路,1,1168,0,POINT (121.447559 24.985602),1168.0,0.0
臺北市文山區,4,1450,0,POINT (121.5783 24.9849),1450.0,0.0
興仁路,1,450,0,POINT (121.4511 25.2175),450.0,0.0
興城路,1,958,0,POINT (121.441935 24.972383),958.0,0.0
興德路,1,200,0,POINT (121.5571 25.0029),200.0,0.0
淡金路,1,251,0,POINT (121.4564 25.2373),251.0,0.0
中央路,4,1678,0,POINT (121.411937 24.952776),1678.0,0.0
舊莊街,1,92,0,POINT (121.61735 25.040245),92.0,0.0
中央北,1,200,0,POINT (121.4929 25.1381),200.0,0.0
草里里,1,78,0,POINT (121.606719 25.28074),78.0,0.0
西雲路,2,175,0,POINT (121.4461 25.0944),175.0,0.0
荖阡坑,1,2360,0,POINT (121.4013 25.1399),2360.0,0.0
裕民路,1,300,0,POINT (121.4162 25.0212),300.0,0.0
莊敬街,1,970,0,POINT (121.656653 25.061158),970.0,0.0
莊敬路,1,92,0,POINT (121.5016 25.0061),92.0,0.0
莒光路,1,428,0,POINT (121.4736 25.0261),428.0,0.0
行忠路,1,213,0,POINT (121.48 25.2011),213.0,0.0
菁桐街,2,414,0,POINT (121.7262 25.0235),414.0,0.0
